ID;preco;nrQuartos;nrWC;Sala_estar_m2;lote_m2;nrAndares;vista;condicao;piso_m2;arrecadacao_m2;Ano_construcao;Ano_renovacao
1;313000;3; 2 ;31;712; 2 ;0;3;121;0;1955;2005
2;2384000;5; 3 ;85;815; 2 ;4;5;303;93;1921;0
3;342000;3; 2 ;45;1075; 1 ;0;4;174;0;1966;0
4;420000;3; 3 ;46;723; 1 ;0;4;90;333;1963;0
5;550000;4; 3 ;45;945; 1 ;0;4;103;267;1976;1992
7;335000;2; 2 ;31;230; 1 ;0;3;122;0;1976;0
8;482000;4; 3 ;63;3228; 2 ;0;3;244;0;1989;0
9;452500;3; 3 ;56;7958; 1 ;0;4;141;287;1985;0
10;640000;4; 2 ;35;558; 2 ;0;3;137;0;1945;2010
11;463000;3; 2 ;40;659; 1 ;0;3;154;0;1948;1994
12;1400000;4; 3 ;68;360; 2 ;0;5;172;337;1909;1988
13;588500;3; 2 ;54;1340; 1 ;0;3;177;120;1980;0
14;365000;3; 1 ;25;579; 1 ;0;4;98;0;1955;2009
15;1200000;5; 3 ;68;853; 2 ;0;3;262;0;1939;1969
16;242500;3; 2 ;28;875; 1 ;0;4;108;0;1965;0
17;419000;3; 2 ;36;603; 1 ;0;4;141;0;1956;0
18;367500;4; 3 ;72;651; 2 ;0;3;280;0;1997;0
20;275000;3; 2 ;27;925; 1 ;0;3;106;0;1983;2009
21;750000;3; 2 ;52;952; 2 ;0;5;140;230;1923;0
22;435000;4; 1 ;34;792; 1 ;0;4;131;0;1954;1979
23;626000;3; 3 ;41;141; 3 ;0;3;132;93;2005;0
24;612500;4; 3 ;63;1103; 2 ;0;3;246;0;1991;0
25;495000;4; 2 ;37;574; 1 ;0;3;102;157;1959;1989
27;615000;3; 2 ;55;656; 1 ;0;4;122;333;1948;0
28;698000;4; 3 ;51;1013; 2 ;0;5;117;300;1920;0
29;675000;5; 3 ;66;6077; 2 ;0;3;254;0;1979;2014
30;790000;3; 3 ;60;428; 1 ;0;4;153;300;1951;1999
33;650000;4; 2 ;42;450; 2 ;1;3;148;60;1945;2010
34;625000;4; 3 ;66;757; 2 ;0;3;254;0;2014;0
35;400000;4; 3 ;84;3860; 2 ;0;3;207;443;1979;2014
36;604000;3; 3 ;75;2984; 2 ;2;3;292;0;1995;0
37;440000;2; 1 ;19;437; 1 ;0;4;72;0;1944;0
38;287200;3; 3 ;43;1797; 1 ;0;4;98;253;1992;0
39;403000;3; 2 ;46;1179; 1 ;2;5;149;103;1957;0
40;750000;3; 3 ;56;590; 1 ;2;4;130;317;1955;2009
41;335000;3; 3 ;37;1459; 1 ;0;4;142;0;1978;2000
42;260000;4; 2 ;34;776; 1 ;0;4;133;0;1974;0
44;439950;3; 3 ;41;259; 2 ;0;3;159;0;1990;2009
45;235000;2; 1 ;28;846; 1 ;0;2;109;0;1949;0
46;315000;3; 1 ;27;826; 1 ;0;3;104;0;1968;1997
47;437500;3; 3 ;46;3159; 2 ;0;4;177;0;1977;0
48;407500;3; 3 ;45;941; 2 ;0;3;174;0;1996;0
49;445700;3; 3 ;30;106; 3 ;0;3;114;0;2001;0
50;838000;4; 3 ;77;3870; 2 ;0;3;298;0;2001;0
51;630000;4; 3 ;63;3355; 2 ;0;3;244;0;2000;0
52;550000;3; 2 ;68;3168; 2 ;0;3;262;0;1979;2014
53;805000;3; 2 ;63;405; 2 ;0;4;169;277;1929;0
54;284000;3; 2 ;42;2079; 1 ;0;3;162;0;1968;1997
55;470000;5; 3 ;51;869; 1 ;0;3;131;250;1976;0
56;430000;4; 2 ;45;900; 1 ;0;4;96;283;1954;1979
57;491500;4; 2 ;51;11291; 1 ;2;3;197;0;1968;1997
58;785000;5; 4 ;85;1080; 2 ;2;3;329;0;2006;0
59;385000;3; 4 ;31;119; 2 ;0;3;94;93;2008;0
60;295000;2; 3 ;38;123; 2 ;0;3;115;117;2009;0
63;625000;4; 4 ;63;4861; 1 ;0;3;140;390;2007;0
64;300000;3; 3 ;59;455; 2 ;0;3;229;0;2006;0
66;553000;2; 1 ;21;450; 1 ;0;3;81;0;1944;0
67;379880;3; 3 ;38;1265; 1 ;0;4;102;173;1986;0
68;310000;3; 1 ;23;895; 1 ;0;4;91;0;1973;0
70;365000;3; 3 ;51;662; 1 ;0;5;141;210;1988;0
71;331950;4; 3 ;59;894; 2 ;2;3;181;173;1990;2009
72;783500;3; 3 ;66;642; 2 ;0;3;179;287;1980;0
73;628000;4; 2 ;53;541; 1 ;0;3;103;380;1900;2005
76;531000;2; 3 ;30;106; 2 ;0;3;100;53;2000;0
77;831000;4; 3 ;50;360; 2 ;0;4;145;187;1982;2011
78;780000;4; 3 ;63;925; 2 ;2;3;246;0;1996;0
79;755000;4; 3 ;49;918; 1 ;0;4;146;167;1960;2001
80;705380;3; 3 ;58;391; 2 ;0;3;224;0;2003;0
81;627000;4; 3 ;46;694; 1 ;0;3;109;260;1973;2013
82;865000;4; 3 ;86;890; 2 ;0;3;332;0;1998;2006
84;410000;3; 3 ;42;3303; 1 ;0;4;122;147;1978;2000
85;485000;4; 3 ;54;634; 1 ;0;4;121;333;1979;0
86;400000;2; 2 ;49;857; 1 ;0;2;190;0;1948;0
87;549000;2; 1 ;26;486; 1 ;0;5;103;0;1908;0
88;620000;3; 2 ;34;197; 3 ;0;3;133;0;2005;0
89;405000;2; 3 ;33;112; 2 ;0;3;103;90;2006;0
90;232000;2; 1 ;28;726; 1 ;0;4;108;0;1958;1972
91;800866;5; 3 ;74;1243; 2 ;0;4;286;0;1990;0
92;650000;3; 2 ;50;810; 1 ;2;4;126;253;1949;1985
93;823000;6; 2 ;68;450; 3 ;0;4;250;47;1908;0
94;770000;3; 2 ;55;513; 2 ;0;4;163;180;1939;1989
95;524000;3; 2 ;36;497; 1 ;0;4;70;260;1944;0
96;541125;5; 3 ;64;758; 1 ;0;4;123;457;1960;2001
97;670000;3; 3 ;39;180; 3 ;0;3;151;0;1909;1998
98;384900;5; 3 ;72;1148; 1 ;0;3;158;447;1968;1997
99;406100;3; 3 ;33;120; 3 ;0;3;127;0;2005;0
100;1395000;5; 4 ;93;766; 2 ;1;5;257;387;1971;0
101;736500;4; 3 ;74;1971; 2 ;3;3;286;0;2000;0
102;570000;3; 3 ;47;540; 1 ;0;3;120;227;1975;0
103;787000;3; 2 ;31;675; 1 ;0;3;120;0;1961;2004
104;328000;4; 3 ;55;585; 2 ;0;3;213;0;1998;2006
105;435000;5; 2 ;43;832; 1 ;0;4;139;100;1942;1958
107;501000;4; 1 ;48;677; 1 ;0;3;104;303;1963;2008
